閉口,へいこう<br><br>(1) dumbfounded; stumped; at one's wits end; nonplussed <br>(2) annoyed,N3 N5
利口,"りこう<br><br>(1) clever; intelligent; wise; bright; sharp; sensible; smart; shrewd <br>(2) well-behaved (of kids, animals, etc); obedient; good <br>(3) good (with words)",N3 N5
手続,てつづき<br><br>procedure; (legal) process; formalities,N3 N5
手当て,てあて<br><br>(1) salary; pay; compensation; allowance (e.g. housing allowance); benefit; bonus <br>(2) medical care; treatment <br>(3) advance preparation,N3 N5
選手,せんしゅ<br><br>player (in game); team member,N3 N5
相手,"あいて<br><br>(1) companion; partner; company <br>(2) other party; addressee <br>(3) opponent (sports, etc.)",N3 N5
取っ手,とって<br><br>handle; grip; knob,N3 N5
手術,しゅじゅつ<br><br>(surgical) operation; procedure,N3 N5
手段,しゅだん<br><br>means; way; measure,N3 N5
助手,じょしゅ<br><br>helper; helpmeet; assistant; tutor,N3 N5
苦手,にがて<br><br>(1) poor (at); weak (in); not very good (at) <br>(2) dislike (of),N3 N5
手伝い,てつだい<br><br>(1) helper; assistant <br>(2) help,N3 N5
手掛かり,てがかり<br><br>(1) clue; key; trail; scent; track; contact <br>(2) handhold; on hand,N3 N5
勝手,"かって<br><br>(1) one's own convenience; one's way <br>(2) convenience or ease of use; knowledge of how to use <br>(3) circumstances; situation (e.g. financial); environment <br>(4) kitchen <br>(5) arbitrary <br>(6) unauthorised (e.g. phone app, WWW site); unofficial",N3 N5
手配,てはい<br><br>(1) arrangement; preparations <br>(2) search (by police),N3 N5
手際,てぎわ<br><br>performance; skill; tact,N3 N5
手法,しゅほう<br><br>technique,N3 N5
手遅れ,ておくれ<br><br>(1) being (too) late <br>(2) belated treatment,N3 N5
手数,"てすう<br><br>(1) trouble; bother <br>(2) number of moves (in go, shogi, etc.) <br>(3) number of punches (in boxing)",N3 N5
手伝う,てつだう<br><br>to help; to assist; to take part in,N3 N5
お手伝いさん,おてつだいさん<br><br>maid,N3 N5
手掛ける,てがける<br><br>to handle; to manage; to work with; to rear; to look after; to have experience with,N3 N5
勝手に,かってに<br><br>arbitrarily; of its own accord; involuntarily; wilfully; willfully; as one pleases,N3 N5
満足,まんぞく<br><br>(1) satisfaction <br>(2) sufficiency,N3 N5
見付かる,みつかる<br><br>to be found; to be discovered,N3 N5
見積り,みつもり<br><br>estimate; estimation; valuation; quotation,N3 N5
見解,けんかい<br><br>opinion; point of view,N3 N5
見込み,みこみ<br><br>(1) hope; promise; possibility; chance; probability; likelihood <br>(2) expectation; anticipation; forecast; estimate <br>(3) side of a structural member,N3 N5
見舞う,みまう<br><br>to ask after (health); to visit,N3 N5
見舞い,みまい<br><br>(1) visiting ill or distressed people; writing get-well letters <br>(2) get-well gifts; get-well letters <br>(3) expression of sympathy; expression of concern; enquiry; inquiry,N3 N5
見直す,みなおす<br><br>(1) to look again <br>(2) to get a better opinion of,N3 N5
見当,けんとう<br><br>aim; mark; estimate; guess; approximation; direction,N3 N5
見付ける,みつける<br><br>(1) to discover; to find (e.g. an error in a book); to come across; to detect; to spot <br>(2) to locate; to find (e.g. something missing); to find fault <br>(3) to be used to seeing; to be familiar with,N3 N5
見渡す,みわたす<br><br>to look out over; to survey (scene); to take an extensive view of,N3 N5
見苦しい,みぐるしい<br><br>unsightly; ugly,N3 N5
見晴らし,みはらし<br><br>view; prospect; outlook,N3 N5
見落とす,みおとす<br><br>to overlook; to fail to notice; to miss (seeing),N3 N5
見逃す,みのがす<br><br>to miss; to overlook; to leave at large,N3 N5
見慣れる,みなれる<br><br>to become used to seeing; to be familiar with,N3 N5
お見舞い,おみまい<br><br>calling on someone who is ill; enquiry; inquiry,N3 N5
雑音,"ざつおん<br><br>noise (jarring, grating)",N3 N4
努力,どりょく<br><br>great effort; exertion; endeavour; endeavor; effort,N3 N4
権力,けんりょく<br><br>(political) power; authority; influence,N3 N4
実力,じつりょく<br><br>(1) (real) ability; true strength; merit; efficiency; competency <br>(2) arms; force,N3 N4
能力,のうりょく<br><br>ability; faculty,N3 N4
全力,ぜんりょく<br><br>all one's power; whole energy,N3 N4
活力,かつりょく<br><br>vitality; energy; dynamism,N3 N4
労力,ろうりょく<br><br>labour; labor; effort; toil; trouble,N3 N4
戦力,せんりょく<br><br>war potential,N3 N4
浮力,ふりょく<br><br>uoyancy; floating power,N3 N4
速力,そくりょく<br><br>speed,N3 N4
景気,けいき<br><br>condition; state; business (condition),N3 N5
気配,けはい<br><br>(1) indication; sign; hint; presence; trend <br>(2) quotation (esp. stock market),N3 N5
気候,きこう<br><br>climate,N3 N5
活気,かっき<br><br>energy; liveliness,N3 N5
不景気,ふけいき<br><br>usiness recession; hard times; depression; gloom; sullenness; cheerlessness,N3 N5 N4
陽気,ようき<br><br>(1) cheerful; merry <br>(2) season; weather,N3 N5
浮気,うわき<br><br>(1) extramarital sex; affair; fooling around <br>(2) infidelity; wantonness; unfaithfulness; inconstancy; fickleness; caprice,N3 N5
意気込む,いきごむ<br><br>to be enthusiastic about,N3 N5 N4
平気,へいき<br><br>coolness; calmness; composure; unconcern,N3 N5
気付く,きづく<br><br>to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise,N3 N5
殺気,さっき<br><br>thirst for blood,N3 N5
気を付ける,きをつける<br><br>to be careful; to pay attention; to take care,N3 N5
気流,きりゅう<br><br>atmospheric current; air current; airflow,N3 N5
円満,えんまん<br><br>perfection; harmony; peace; smoothness; completeness; satisfaction; integrity,N3 N5
収入,しゅうにゅう<br><br>income; receipts; revenue,N3 N5
加入,かにゅう<br><br>ecoming a member; joining; entry; admission; subscription; affiliation; adherence; signing,N3 N5
受け入れる,うけいれる<br><br>to accept; to receive; to agree,N3 N5
記入,きにゅう<br><br>entry; filling in of forms,N3 N5
押し入れ,おしいれ<br><br>closet,N3 N5
受け入れ,うけいれ<br><br>eceiving; acceptance,N3 N5
投入,"とうにゅう<br><br>(1) throwing into; inserting; depositing <br>(2) investment; putting in (personnel, etc.) <br>(3) release of a product <br>(4) making (an electrical circuit)",N3 N5
申し入れる,もうしいれる<br><br>to propose; to suggest,N3 N5
取り入れる,とりいれる<br><br>(1) to harvest; to reap <br>(2) to take in; to gather in <br>(3) to adopt,N3 N5
恐れ入る,おそれいる<br><br>(1) to be sorry; to beg pardon; to be much obliged; to feel small <br>(2) to be grateful <br>(3) to be amazed; to be filled with awe; to be surprised <br>(4) to be disconcerted; to be embarrassed,N3 N5
